[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR_20200723.gcd
Output Date	7/24/2020
Output Time	10:42:10 AM

[File Information]
Type	Data File
Generated	7/24/2020 1:20:07 AM
Generated by	Admin
Modified	7/24/2020 2:10:36 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/24/2020 1:26:58 AM
Type	Unknown
Level	1
Sample Name	MA-ACR_20200723
Sample ID	MA-ACR_20200723
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\MA-ACR_20200723.gcd
Method File	C:\GCsolution\Data\Pfleger\Jonathan\20190412_Stabilwax_shortened_bake.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jonathan\07-23-2020\gc_07-23-2020.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	81
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
42	22.725	22.634	22.769	1234	235	0.05	0.00000	   			11.365	352300.841	0.000	0.722	0.000	1.008
43	22.875	22.811	22.904	1329	411	0.03	0.00000	   			11.447	0.000	0.000	0.000	0.000	1.007
44	23.157	22.974	23.185	4051	413	0.10	0.00000	 V 			11.600	0.000	0.000	0.000	0.000	1.013
45	23.278	23.185	23.329	2883	433	0.07	0.00000	 V 			11.666	0.000	0.000	0.000	0.000	1.006
46	23.489	23.348	23.642	88280	33429	0.03	0.00000	   			11.781	2267282.039	0.000	1.302	0.000	1.010
47	23.679	23.642	23.717	1044	275	0.04	0.00000	 V 			11.884	0.000	0.000	0.000	0.000	1.009
48	24.330	24.146	24.375	8054	1862	0.04	0.00000	   			12.238	1986162.604	0.000	0.632	0.000	1.030
49	24.617	24.375	24.640	3823	207	0.19	0.00000	 V 			12.395	1634820.151	0.000	0.694	3.948	1.013
50	24.729	24.654	24.748	1596	263	0.06	0.00000	   			12.456	682600.706	0.000	0.000	1.142	1.005
51	25.136	25.084	25.210	100475	42566	0.02	0.00000	   			12.677	2648998.736	0.000	1.126	4.491	1.018
52	25.448	25.322	25.480	5685	708	0.08	0.00000	   			12.847	255850.179	0.000	0.000	2.380	1.013
53	25.915	25.854	25.975	48334	17654	0.03	0.00000	   			13.101	2406873.271	0.000	0.000	3.494	1.020
54	26.173	25.975	26.218	40367	5890	0.07	0.00000	 V 			13.242	1051861.503	0.000	0.000	3.068	1.011
55	26.666	26.218	26.731	292493	52052	0.06	0.00000	 V 			13.510	2016394.698	0.000	0.000	5.574	1.020
