Name,Sequence,C4,C6,C8,C10,C12,C14,C16,Total
ACR-48,21111112,0.00728035,0.436656723,3.38E-06,0.016225776,0.295925863,2.111985047,12.97557654,15.83637333
ACR-49,12111113,0,0.859363351,3.58E-06,0.087830201,0.00812215,0.284200176,2.347098146,3.586617602
ACR-50,22222132,0,0.803412042,2.62E-06,0.068432677,0.018310581,0.023769818,0.486729754,1.400657492
ACR-51,22222312,0.087231441,0.681793466,8.65E-07,0.110258502,0.030412276,1.739611174,17.01825469,19.58033097
ACR-52,12211111,0.058494201,0.794764334,0,0.104006688,0.004065174,1.295871622,9.507731203,11.70643902
ACR-53,12222322,0.063584376,0.856778041,2.68E-06,0.115198845,0.033315079,2.080436528,18.17325817,21.25898934
ACR-54,11211113,2.66E-13,0.657126026,1.65E-06,0.096013551,0.021459406,0.324138991,3.261876314,4.360615932
ACR-55,22222332,0.046823512,0.764428448,1.78E-06,0.077138599,0.008927885,0.060912615,0.382079124,1.29348845
ACR-56,13211111,0.074522317,0.654906289,7.35E-07,0.100854007,0.073612239,2.092528527,10.95570324,13.87760503
ACR-57,22212322,0.078592734,0.716458268,5.95E-07,0.080107564,0.017361034,1.257567136,7.45440698,9.525901577
ACR-58,11112131,0.096534197,0.121618838,2.93E-06,0.039142395,0.0984033,0.136364722,0.385498021,0.781030206
ACR-59,22222112,0.064316116,0.42513922,6.65E-06,0.071713655,0.178279659,4.603483796,43.83883829,49.11746126
ACR-60,13121111,0.205559606,0.497340302,2.47E-06,0.072622187,0.084814717,1.504696682,16.40471176,18.56418811
ACR-61,11221111,0.017776966,0.181046372,1.11E-05,0.051458771,0.128812801,0.927514117,10.25233662,11.54117974
ACR-62,21222122,0,0.72263606,2.26E-06,0.090133405,0.125425536,3.959171102,32.15466127,37.05202963
ACR-65,12111112,0,0.532826379,4.20E-06,0.083227991,0.098303138,1.828175146,11.45678703,13.99932388
ACR-66,23222322,0.058055462,0.556565045,4.55E-06,0.073118634,0.080725178,2.095728599,16.02504481,18.83118681
ACR-67,22212122,0.036868448,0.326389623,5.05E-06,0.044312938,0.035340564,1.273458256,5.805912433,7.485418858
MA-ACR,11111111,11.73812984,0.221605171,0.190972548,0.117310842,0.080428853,1.539091683,9.259104831,11.40851393
MAB-ACR,22222222,13.3653815,0.261278516,0.228858354,0.116687495,0.100022827,4.63339392,33.81333285,39.15357396
MAT-ACR,33333333,26.66580558,0.020584392,0.318433086,0.099630156,0.002488987,0.424485156,7.483722387,8.349344164
