Name,Sequence,C4,C6,C8,C10,C12,C14,C16,Total
ACR-01,13113322,5.108334487,0.044484481,0.209762373,0.234722601,0.084592727,0.608829661,0.359946767,1.542338609
ACR-02,31333312,0.144949635,0.015334038,0.131530932,0.167463392,0.100870312,0.401314803,3.06E-05,0.816544077
ACR-03,33332321,6.842519346,0.002165584,0.192427023,0.244213723,0.143599825,0.35840962,0,0.940815775
ACR-04,13321132,7.299684505,0.005833812,0.148505215,0.150593524,0.072144725,0.223270081,2.57E-05,0.600373057
ACR-05,12313331,14.86974506,0.018563167,0.234998867,0.17882939,0.143508685,0.349502197,3.46E-05,0.925436906
ACR-06,31132332,17.37906756,0.018048832,0.181373418,0.176857276,0.075156177,0.422107861,6.19E-05,0.873605464
ACR-07,11311323,9.974284301,0.065439879,0.207272778,0.17075215,0.064789228,0.25641178,2.84E-05,0.764694215
ACR-08,13312313,4.392162574,0.020342673,0.227583574,0.181176505,0.089522175,0.27777999,5.40E-05,0.796458917
ACR-09,32131312,20.479549,0.041415683,0.218882158,0.151945887,0.065666591,0.433968514,0.069222975,0.981101808
ACR-10,33211331,0.17353899,0.040521829,0.213917818,0.261081198,0.078806696,1.049627496,1.17813519,2.822090228
ACR-11,13231331,22.86816301,0.000110056,0.137534555,0.145183799,0.056819548,0.384568663,0,0.724216621
ACR-12,21123311,19.66834233,0.006805381,0.240220118,0.218267233,0.078191429,0.372114863,2.87E-05,0.915627724
ACR-13,23311132,11.18046667,0.032320712,0.158739198,0.18222811,0.116692817,0.313800785,0.000122088,0.80390371
ACR-14,32233123,23.47663426,3.65E-05,0.312719353,0.204531575,0.089381929,0.447001196,5.21E-05,1.053722653
ACR-15,32121333,5.895063878,0.000900924,0.184033521,0.153383291,0.099586455,0.272126484,0,0.710030675
ACR-16,22132133,1.705026401,0.000898223,0.128554875,0.169021383,0.081444095,0.316889915,9.04E-05,0.696898891
ACR-17,22331321,2.014489205,0.016551499,0.195640776,0.160602902,0.04529081,0.311266858,5.54E-05,0.729408245
ACR-18,33123121,2.776302679,0.046701926,0.223876652,0.267723343,0.080688023,0.737209948,0.895192575,2.251392467
ACR-19,32312111,10.42996563,0.020069795,0.209858615,0.180189662,0.124851158,0.30011735,0.000146029,0.835232609
ACR-20,23213313,5.80703894,0.055725919,0.256850493,0.268687462,0.074089023,0.705632456,1.244238946,2.6052243
ACR-21,11233113,3.28419376,0.000968218,0.168257427,0.210635554,0.077980872,0.312346061,0.008395503,0.778583635
ACR-22,21223131,3.480429925,0.010508112,0.220656389,0.193887258,0.130471393,0.422094088,0,0.97761724
ACR-23,13222113,23.57953274,0.020047241,0.316780164,0.106063341,0.012560184,0.129169081,3.268042979,3.852662989
ACR-24,31213123,2.88013074,0.000294181,0.178183705,0.22427204,0.07627507,0.344856736,6.74E-05,0.823949132
ACR-25,23233112,8.292914143,0.066449653,0.324663756,0.292857449,0.067045561,1.061803929,3.196839276,5.009659624
ACR-26,31112322,0.000299769,0.007627491,0.176803093,0.153739023,0.149425632,0.498328739,2.620216071,3.606140049
ACR-27,33233311,3.85E-05,0.017292187,0.254879815,0.221217842,0.184540384,0.515007659,3.02824314,4.221181027
ACR-28,32111311,0.001019856,0.029581611,0.251541291,0.170177618,0.186344276,0.206380646,1.854474205,2.698499647
ACR-29,32331332,0.000149721,0.008805454,0.175947023,0.137772412,0.139020352,0.019533057,0.050568386,0.531646685
ACR-30,31131131,8.87E-05,0.013682758,0.201707843,0.126639117,0.146248361,0.018763159,0.06611875,0.573159989
ACR-31,32333132,5.34E-05,0.014516286,0.198280567,0.135876331,0.124279786,0.013460901,0.128851306,0.615265177
ACR-32,32313131,0.000297237,0.025314312,0.2682659,0.174848362,0.169256966,0.015720238,0.063163225,0.716569003
ACR-33,23311321,5.515505603,0.030514268,0.139134506,0.363391741,1.87E-06,0.405281859,0.001374761,0.939699004
ACR-34,23132331,30.55609642,0.033365951,0.149059163,0.389097937,7.82E-06,0.95174832,2.551194679,4.074473866
ACR-35,12213121,22.24887508,0.016140501,0.134495175,0.35109755,7.99E-06,0.338977288,0.004342612,0.845061109
ACR-36,11223321,27.42642808,0.023820931,0.16369127,0.37566823,4.52E-06,0.417914834,0.000685073,0.981784857
ACR-37,21233321,27.34724774,0.021643973,0.169610603,0.411017445,6.98E-06,0.563996206,0.087733667,1.254008877
ACR-38,11233321,32.66471577,0.023643709,0.164997097,0.383083302,4.93E-06,0.469694931,0.167141977,1.208565945
ACR-39,11213121,26.46238965,0.030487455,0.163628808,0.350471506,6.23E-06,0.436847733,0.003099929,0.984541664
ACR-40,23222122,0.004061997,0.006481157,0.094484597,0.10474228,0.008343047,2.217488973,18.9927782,21.42431825
ACR-41,13111112,0.001646293,0.01783389,0.125010193,0.1217691,0.033691033,3.106445773,23.6015534,27.00630339
ACR-42,11212111,0.007554153,0.006970747,0.105462513,0.12878794,0.001055673,0.813486687,11.0465553,12.10231886
ACR-43,33232333,0.009019103,0.002375913,0.07611714,0.08605016,0.00691335,0.09683961,2.696396467,2.96469264
ACR-44,11122111,0.004122545,0.00105175,0.071183575,0.11299157,0.000190585,0.968994455,11.471515,12.62592694
ACR-45,11211112,120.9363267,0.205496964,0.059626161,0.072573705,0.318885349,2.782238975,29.47635649,32.91517764
ACR-46,11121112,0.026831139,0.396024819,2.86E-06,0.014513008,0.263513373,2.420499167,15.97402904,19.06858227
ACR-47,22232122,0.021031007,0.509635054,2.62E-06,0.012495292,0.240614448,1.0153335,6.395966132,8.174047043
ACR-48,21111112,0.007339539,0.440206777,3.41E-06,0.016357694,0.298331764,2.129155657,13.08106903,15.96512433
ACR-49,12111113,0,0.866350045,3.62E-06,0.088544268,0.008188183,0.286510747,2.366180244,3.615777101
ACR-50,22222132,0,0.809943848,2.65E-06,0.068989041,0.018459448,0.023963068,0.490686906,1.412044955
ACR-51,22222312,0.08794064,0.687336503,8.70E-07,0.111154913,0.03065953,1.753754354,17.15661449,19.73952065
ACR-52,12211111,0.058969764,0.801225832,0,0.104852271,0.004098224,1.306407164,9.585029827,11.80161332
ACR-53,12222322,0.064101323,0.863743716,2.70E-06,0.116135421,0.033585933,2.097350646,18.32100823,21.43182664
ACR-54,11211113,2.68E-13,0.662468514,1.67E-06,0.096794148,0.021633872,0.326774268,3.288395634,4.3960681
