Sample,C4,C6,C8,C10,C12,C14,C16,Date,Sum C6-C16
ACR-83-1_20200721,0.12841576967092788,1.2544427304610577e-05,0.29757507586985316,0.12365432975443805,0.12101244516690399,4.283478737946511,37.62830685972406,07-23-2020,42.45403999288907
ACR-83-2_20200723,298.26910113442506,0.00014332575960909448,0.3110419722696711,0.1470014750042184,0.12899196434961574,4.836471085060413,36.493054605448826,07-23-2020,41.916704427892356
ACR-83_20200723,6.266870385074087e-12,3.211237909486558e-05,0.3107570541203948,0.20534532870395028,0.07730528650394813,7.438733694490332,51.278979120617144,07-23-2020,59.311152596814864
EV-1_20200721,2.692055803228248,4.1729451624885276e-06,0.2780687993567146,0.13993671856369164,0.08329533718647299,0.0552194279042816,0.734940570906776,07-23-2020,1.2914650268630994
EV-2_20200721,0.6829661191521003,0.0002802770788830453,0.3091723562004058,0.14562561375379274,0.06503826227102812,0.0917443260720834,1.5706824469056742,07-23-2020,2.182543282281867
EV-LB_20200721,0.015030613280313887,3.474151555924202e-06,0.2796723314117019,0.1520187521510141,0.09668754622360777,0.06614090032414935,0.9314499431268963,07-23-2020,1.5259729473889254
EV_20200723,456.3085320607646,0.0004138427676621167,0.3027331265349694,0.15561573343346513,0.04904281803124387,0.06537031165048637,0.7108072497882583,07-23-2020,1.2839830822060851
MA-ACR-1_20200721,0.6910537888383406,3.844067125774149e-06,0.3107374171958906,0.14258932135430732,0.08081858291691503,0.7335046064287073,7.405943003653472,07-23-2020,8.673596775616417
MA-ACR-2_20200721,0.08810935933989454,1.5159820320467519e-05,0.30391113522980484,0.12964500241503543,0.08049966340596297,0.8017121440693987,7.403512710873966,07-23-2020,8.719295815814489
MA-ACR-LB-1_20200721,0.17481005901984764,3.931512862411203e-06,0.30738095166281804,0.1347255091539085,0.08391634494903166,0.8927462882190809,6.4958109927164545,07-23-2020,7.914584018214156
MA-ACR-LB-2_20200721,2912.667387673426,0.00015759220729493864,0.28190569404273724,0.15497807910800065,0.07404327284391622,0.8255998213984874,6.572532405855506,07-23-2020,7.909216865455942
MA-ACR_20200723,0.14380606089769193,2.747484607568416e-05,0.2724205411397121,0.14677335057729907,0.05631220012665768,0.8713547482938842,9.843074634854762,07-23-2020,11.18996294983839
MAB-ACR-1_20200723,0.05448200376117855,1.3955662756776884e-05,0.30115450110414727,0.1360838728235249,0.04176143518475134,4.533228923323479,31.949990668037646,07-23-2020,36.96223335613631
MAB-ACR-2_20200723,0.34022060993349557,4.143446047376764e-06,0.29512539675780597,0.16687193031515238,0.08025213439096875,4.8184355657543225,32.74665964047667,07-23-2020,38.107348811140966
blank_20200721,0.10939275385313908,3.478449707537679e-05,0.3036420446835841,0.17055851620280127,0.06687373445566182,0.12917926294987156,1.2673899965962347,07-23-2020,1.9376783393852288
blank_20200723,0.04857651449619102,0.0,0.2847850688992099,0.1425538809072474,0.07054490382469246,0.06785197835815623,0.8249391934522087,07-23-2020,1.3906750254415146
blankplusevens_20200721,1919.3912357517509,15.947069138713294,23.493536075317355,21.212070946177978,24.877479578563133,25.413941580035942,22.057217875992592,07-23-2020,133.00131519480027
blankplusevens_20200723,220.94904282179075,17.236258786455135,23.297432348474764,21.21767383255306,24.794628561661874,25.65466859468269,22.397182152101944,07-23-2020,134.59784427592945
